"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGIKEY_PARTNUMBER";"DIGIKEY_PRICE-STOCK";"ESP32-DEVKITV1";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";
"9";"";"PINHD-1X15";"1X15";"GND_3, GND_4, JP11, JP12, JP13, SIGNAL_3, SIGNAL_4, VCC_3, VCC_4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"4";
"1";"";"PINHD-1X3";"1X03";"VCC_SELECT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"92";
"4";"";"PINHD-2X4";"2X04";"GND_1, GND_2, VCC, VIN";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"47";
"1";"";"PINHD-2X5";"2X05";"RELAY_CONTROL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"35";
"2";"0.1uf";"KGM15BR71E104KT";"CAPC1608X95N";"C1, C2";"0603 25 V X7R 100nF +/-10%";"";"";"0603 25 V X7R 100nF +/-10%";"";"";"";"0.95mm";"Kyocera AVX";"KGM15BR71E104KT";"581-KGM15BR71E104KT";"https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/KGM15BR71E104KT?qs=Jm2GQyTW%2FbiCo%2Fby4Q068Q%3D%3D";"";
"5";"150080SS75000";"150080SS75000";"LEDC2012X80N";"RL1, RL2, RL3, RL4, RL5";"Wurth Elektronik 150080SS75000, WL-SMCW Series Red LED, 630 nm, 2012 (0805) Clear, Rectangle Lens SMD Package";"";"";"Wurth Elektronik 150080SS75000, WL-SMCW Series Red LED, 630 nm, 2012 (0805) Clear, Rectangle Lens SMD Package";"732-4985-1-ND";"https://www.digikey.com/product-detail/en/w%C3%BCrth-elektronik/150080SS75000/732-4985-1-ND/4489919";"";"0.8mm";"Wurth Elektronik";"150080SS75000";"710-150080SS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080SS75000?qs=LlUlMxKIyB2zzpiaOzrUdw%3D%3D";"";
"2";"1716080000";"1716080000";"1716080000";"RELAY4, RELAY5";"Printed circuit board terminals, 5.08 mm, Number of poles: 2, 90, Solder pin length: 3.5 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 2.5 mm, Box";"";"";"Printed circuit board terminals, 5.08 mm, Number of poles: 2, 90, Solder pin length: 3.5 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 2.5 mm, Box";"";"";"";"13.8mm";"Weidmuller";"1716080000";"470-1716080000";"https://www.mouser.co.uk/ProductDetail/Weidmuller/1716080000?qs=BTG2th8YmhQnu8ZhPH6LgQ%3D%3D";"";
"3";"1716090000";"1716090000";"SHDR3W95P0X508_1X3_1524X1000X1";"RELAY1, RELAY2, RELAY3";"Printed circuit board terminals, 5.08 mm, Number of poles: 3, 90, Solder pin length: 3.5 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 2.5 mm, Box";"";"";"Printed circuit board terminals, 5.08 mm, Number of poles: 3, 90, Solder pin length: 3.5 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 2.5 mm, Box";"";"";"";"13.8mm";"Weidmuller";"1716090000";"470-1716090000";"https://www.mouser.co.uk/ProductDetail/Weidmuller/1716090000?qs=BTG2th8YmhRwtiTHzuCKAQ%3D%3D";"";
"1";"1759017";"1759017";"SHDRRA2W103P0X508_1X2_1016X120";"INPUT";"PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Tin, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTB 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.5 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard";"";"";"PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Tin, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTB 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.5 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard";"";"";"";"8.72mm";"Phoenix Contact";"1759017";"651-1759017";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1759017?qs=BYlwlsDsB%2FoOYIHqYLxOcg%3D%3D";"";
"10";"1k";"ERA-3AED102V";"ERA3AEB101V";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10";"Thin Film Resistors - SMD 0603 1000ohms 25ppm 0.5% AEC-Q200";"";"";"Thin Film Resistors - SMD 0603 1000ohms 25ppm 0.5% AEC-Q200";"";"";"";"0.55mm";"Panasonic";"ERA-3AED102V";"667-ERA-3AED102V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERA-3AED102V?qs=yocZuyCaXdNrh6oeFjCchg%3D%3D";"";
